customer_id,name,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
720,Darrel Canet,Male,67,23-10-1931,94,Recruiting Manager,Retail,Affluent Customer,N,No,6
1092,Katlin Creddon,Female,56,22-08-1935,90,VP Quality Control,Retail,Mass Customer,N,No,5
3410,Merrili Brittin,Female,93,22-09-1940,85,NA,Property,Mass Customer,N,No,16
658,Donn Bonnell,Male,38,24-01-1944,81,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,8
2413,Abbey Murrow,Male,27,11-08-1943,82,Environmental Specialist,Manufacturing,High Net Worth,N,Yes,17
1,Laraine Medendorp,Female,93,12-10-1953,72,Executive Secretary,Health,Mass Customer,N,Yes,11
3,Arlin Dearle,Male,61,20-01-1954,71,Recruiting Manager,Property,Mass Customer,N,Yes,15
11,Uriah Bisatt,Male,99,30-04-1954,71,NA,Property,Mass Customer,N,No,9
53,Agnella Gocke,Female,22,18-04-1954,71,Software Test Engineer II,Financial Services,Mass Customer,N,No,16
187,Pincas Ather,Male,97,28-01-1954,71,Structural Engineer,n/a,Mass Customer,N,No,11
220,Jeniffer Apark,Female,79,10-05-1954,71,Electrical Engineer,Manufacturing,High Net Worth,N,No,9
255,Keeley Kruger,Female,2,15-01-1954,71,Desktop Support Technician,IT,Mass Customer,N,No,5
366,Constance Ucchino,Female,7,08-01-1954,71,Librarian,Entertainment,High Net Worth,N,No,19
425,Michaeline Bordman,Female,60,19-11-1953,72,Sales Representative,Retail,Mass Customer,N,Yes,20
467,Welbie Rockliffe,Male,51,02-01-1954,71,Human Resources Assistant I,Property,Affluent Customer,N,No,15
560,Dorree Sanja,Female,1,11-10-1953,72,Social Worker,Health,Affluent Customer,N,No,8
719,Pattin Weathey,Male,2,30-12-1953,71,Administrative Officer,Retail,Mass Customer,N,No,14
846,Alvan Rebichon,Male,60,25-03-1954,71,Geologist I,Manufacturing,Affluent Customer,N,No,17
984,Luciano Weddup,Male,89,25-03-1954,71,Programmer I,Manufacturing,Affluent Customer,N,No,16
1177,Bobbette Pozzi,Female,47,31-08-1953,72,Food Chemist,Health,Affluent Customer,N,Yes,6
1243,Robbert Blakey,Male,73,09-08-1953,72,Research Assistant II,Retail,Mass Customer,N,No,8
1565,Jay Janiszewski,Male,71,17-08-1953,72,Sales Representative,Retail,High Net Worth,N,Yes,11
1815,Bab Bingall,Female,23,26-03-1954,71,Software Test Engineer I,Agriculture,Mass Customer,N,Yes,19
1905,Corabelle ,Female,21,17-09-1953,72,Help Desk Technician,Manufacturing,Affluent Customer,N,No,15
1915,Dusty Tesimon,Female,40,12-10-1953,72,Social Worker,Health,Mass Customer,N,Yes,12
1949,Onida Cockshot,Female,9,10-05-1954,71,Legal Assistant,Manufacturing,Mass Customer,N,No,7
2019,Neda Perkis,Female,48,13-09-1953,72,VP Marketing,Entertainment,High Net Worth,N,No,17
2178,Veriee Colthard,Female,20,18-03-1954,71,Mechanical Systems Engineer,Retail,Mass Customer,N,No,12
2208,Lavena Embling,Female,59,07-05-1954,71,NA,n/a,Mass Customer,N,No,9
2283,Gaspar Janaway,Male,44,08-02-1954,71,Software Consultant,n/a,High Net Worth,N,No,16
2482,Regan Siemens,Male,95,10-12-1953,72,Pharmacist,Health,Mass Customer,N,Yes,10
2486,Alaine Halbord,Female,77,09-03-1954,71,Structural Engineer,Manufacturing,Mass Customer,N,Yes,5
2495,Gwenore Suero,Female,89,12-11-1953,72,Assistant Professor,IT,Affluent Customer,N,No,17
2529,Ben Laidler,Male,81,11-05-1954,71,Quality Engineer,Manufacturing,High Net Worth,N,Yes,10
2599,Pauly Eilles,Female,9,03-05-1954,71,VP Marketing,Manufacturing,Mass Customer,N,No,5
2610,Arliene Bartolijn,Female,41,30-04-1954,71,Account Coordinator,IT,Mass Customer,N,No,10
2746,Carmelia Egle of Germany,Female,97,25-10-1953,72,Actuary,Financial Services,High Net Worth,N,Yes,7
2813,Lillian Crookall,Female,51,10-09-1953,72,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,11
2959,Max Gonthier,Female,1,23-11-1953,72,Registered Nurse,Health,Mass Customer,N,Yes,11
3100,Peggy Wrankling,Female,19,09-02-1954,71,Recruiter,n/a,Mass Customer,N,No,7
3103,Shaylah Hatchell,Female,5,21-10-1953,72,Safety Technician II,Retail,Mass Customer,N,No,20
3259,Rabi ,Male,74,04-11-1953,72,Quality Control Specialist,n/a,High Net Worth,N,No,10
3370,Brant Follis,Male,8,22-01-1954,71,Data Coordiator,n/a,High Net Worth,N,Yes,5
3393,Henrietta Olexa,Female,23,21-02-1954,71,Technical Writer,Retail,Mass Customer,N,Yes,7
3455,Coop Skey,Male,29,25-02-1954,71,Administrative Officer,n/a,Mass Customer,N,Yes,11
3471,Brita Afonso,Female,95,05-09-1953,72,Quality Engineer,IT,High Net Worth,N,Yes,8
3592,Pall MacCart,Male,72,27-04-1954,71,Junior Executive,n/a,Mass Customer,N,No,12
3625,Cammie Rubinfeld,Female,24,30-11-1953,72,VP Marketing,Manufacturing,High Net Worth,N,Yes,18
3648,Tracie Bartolomeoni,Female,82,21-02-1954,71,Paralegal,Financial Services,Mass Customer,N,No,5
3806,Ado Gailor,Male,1,08-02-1954,71,NA,Property,Mass Customer,N,No,7
3911,Valeda Ezele,Female,81,25-05-1954,71,Recruiting Manager,n/a,Mass Customer,N,No,5
13,Gabriele Norcross,Male,38,15-02-1955,70,Developer I,Financial Services,High Net Worth,N,Yes,8
91,Dylan Meaker,Male,69,24-02-1955,70,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17
141,Townsend Trobe,Male,67,25-06-1954,71,Teacher,Financial Services,High Net Worth,N,Yes,10
206,Mari Chevolleau,Female,98,19-07-1954,71,Statistician I,n/a,Mass Customer,N,Yes,14
230,Maegan Scyone,Female,74,24-06-1954,71,Internal Auditor,Property,High Net Worth,N,No,11
236,Tybalt Gillingwater,Male,79,30-10-1954,71,Research Nurse,Health,Affluent Customer,N,No,14
269,Zacherie Grindley,Male,55,19-09-1954,71,Nurse Practicioner,Property,Mass Customer,N,Yes,9
371,Pernell Favelle,Male,7,06-07-1954,71,Systems Administrator III,Financial Services,Mass Customer,N,No,7
393,Cesaro Isbell,Male,35,08-02-1955,70,Associate Professor,Manufacturing,Mass Customer,N,Yes,9
415,Conchita Jeans,Female,20,31-05-1955,70,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,18
512,Sigfried Semken,Male,76,15-04-1955,70,VP Accounting,Financial Services,Mass Customer,N,No,6
534,Madel Palffrey,Female,2,16-08-1954,71,Systems Administrator I,n/a,Mass Customer,N,No,12
554,Esmaria Dobbison,Female,33,06-05-1955,70,Graphic Designer,Health,Mass Customer,N,Yes,7
597,Cassandra Aucoate,Female,6,10-12-1954,71,Recruiter,Manufacturing,Mass Customer,N,No,6
674,Dalila Rosel,Female,61,22-08-1954,71,Developer II,n/a,Mass Customer,N,No,5
686,Hallie Le feaver,Female,60,17-07-1954,71,GIS Technical Architect,Agriculture,High Net Worth,N,Yes,5
691,Carver Carwardine,Male,29,25-08-1954,71,NA,Financial Services,Affluent Customer,N,Yes,5
794,Scott Ommundsen,Male,99,12-05-1955,70,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,16
1012,Anna-diane Preddle,Female,20,20-05-1955,70,Software Test Engineer III,n/a,High Net Worth,N,Yes,11
1015,Toiboid Sorrel,Male,7,01-04-1955,70,Web Developer I,Health,Mass Customer,N,No,17
1143,Goraud Boissieux,Male,64,06-03-1955,70,Office Assistant IV,Health,Mass Customer,N,Yes,6
1352,Jerald Lesly,Male,53,28-12-1954,70,Electrical Engineer,Manufacturing,High Net Worth,N,No,18
1541,Dynah Grimes,Female,7,28-12-1954,70,Structural Engineer,Agriculture,Mass Customer,N,Yes,13
1610,Valaree Chisolm,Female,75,10-02-1955,70,Structural Engineer,n/a,High Net Worth,N,Yes,9
1667,Jaime Simonnin,Male,67,18-02-1955,70,Geological Engineer,Manufacturing,High Net Worth,N,No,18
1710,Matilde MacKeeg,Female,49,30-06-1954,71,Health Coach IV,Health,High Net Worth,N,No,17
1739,Burnaby Stiffkins,Male,20,06-10-1954,71,Software Consultant,Entertainment,Mass Customer,N,No,7
1807,Pollyanna Serjeantson,Female,45,15-03-1955,70,Help Desk Operator,n/a,High Net Worth,N,Yes,16
1836,Rochella Harce,Female,54,05-06-1955,70,Research Nurse,Health,Mass Customer,N,Yes,13
1878,Pen Hedgecock,Male,6,06-11-1954,71,Account Coordinator,Health,Affluent Customer,N,No,10
1978,Marge Skerm,Female,53,06-01-1955,70,Dental Hygienist,Health,Mass Customer,N,No,16
2050,Opal Costa,Female,22,26-06-1954,71,Business Systems Development Analyst,n/a,Mass Customer,N,Yes,5
2114,Erick Caveill,Male,78,29-11-1954,71,Safety Technician III,Agriculture,High Net Worth,N,No,19
2361,Jeannette Cerman,Female,55,28-11-1954,71,Help Desk Operator,n/a,High Net Worth,N,Yes,20
2421,Marilee Garbott,Female,54,16-08-1954,71,Research Nurse,Health,Affluent Customer,N,Yes,13
2506,Arlana Ferrick,Female,97,20-01-1955,70,NA,Health,Affluent Customer,N,No,9
2518,Krystalle Ives,Female,53,22-08-1954,71,Recruiting Manager,n/a,Mass Customer,N,Yes,19
2573,Tera Van Weedenburg,Female,72,23-09-1954,71,Software Engineer I,n/a,Mass Customer,N,No,10
2677,Zollie Exell,Male,34,08-10-1954,71,NA,Financial Services,Mass Customer,N,No,10
2713,Hadlee Mackro,Male,55,03-11-1954,71,Statistician II,Retail,Affluent Customer,N,Yes,5
2758,Fabien Whittlesea,Male,17,24-05-1955,70,NA,Manufacturing,Affluent Customer,N,No,19
2764,Callie Coltart,Female,12,29-03-1955,70,NA,Financial Services,Mass Customer,N,Yes,20
2772,Reynolds Vreede,Male,15,25-10-1954,71,Quality Engineer,Property,Affluent Customer,N,Yes,13
2815,Emery Carlett,Male,50,30-10-1954,71,NA,Health,Mass Customer,N,No,19
2950,Kristos Anthony,Male,19,11-01-1955,70,Software Engineer I,Financial Services,Mass Customer,N,Yes,10
3004,Waylon Hammant,Male,82,20-02-1955,70,Research Assistant II,Health,Mass Customer,N,Yes,16
3166,Bronson Plowman,Male,96,11-05-1955,70,Social Worker,Health,Mass Customer,N,No,20
3372,Orazio Wissby,Male,62,25-09-1954,71,NA,Telecommunications,High Net Worth,N,No,15
3380,Abe Ealam,Male,41,09-01-1955,70,Speech Pathologist,Manufacturing,High Net Worth,N,Yes,14
3507,Christoph Greatreax,Male,70,03-03-1955,70,Physical Therapy Assistant,Financial Services,Mass Customer,N,No,5
3540,Ali Naris,Male,49,27-08-1954,71,NA,n/a,Mass Customer,N,Yes,7
3558,Torey Sarney,Male,16,05-09-1954,71,NA,n/a,High Net Worth,N,Yes,7
3597,Giorgi ,Male,71,16-06-1954,71,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,16
3603,Cale Yaneev,Male,90,27-09-1954,71,Sales Representative,Retail,Mass Customer,N,Yes,14
3652,Aldrich Camble,Male,20,06-02-1955,70,Nurse,Health,High Net Worth,N,Yes,17
3668,Katlin Ragsdale,Female,79,09-02-1955,70,Desktop Support Technician,Property,Mass Customer,N,Yes,6
3709,Lilly Roubay,Female,31,31-03-1955,70,GIS Technical Architect,Health,Mass Customer,N,No,8
3830,Jareb Filippucci,Male,92,31-10-1954,71,Sales Representative,Retail,High Net Worth,N,No,8
3926,Allistir Heckney,Male,24,04-09-1954,71,Account Executive,Manufacturing,Mass Customer,N,Yes,18
3963,Ardelle Dasent,Female,10,22-08-1954,71,Software Test Engineer II,n/a,Mass Customer,N,No,13
38,Cordi Merman,Female,37,29-10-1955,70,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20
98,Allianora Babalola,Female,19,17-03-1956,69,Safety Technician IV,Health,Mass Customer,N,No,7
113,Gage Nickless,Male,67,06-05-1956,69,Staff Scientist,n/a,Mass Customer,N,No,20
166,Elston Oleszczak,Male,54,12-06-1955,70,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6
275,Dud ,Male,7,27-07-1955,70,VP Sales,Health,High Net Worth,N,No,13
277,Jehanna Alvarado,Female,69,19-02-1956,69,VP Product Management,n/a,High Net Worth,N,No,15
360,Atalanta Starbucke,Female,64,02-04-1956,69,Staff Scientist,Property,Mass Customer,N,Yes,19
380,Teriann Birdsey,Female,66,15-05-1956,69,Structural Engineer,Property,Mass Customer,N,No,17
431,Gale Done,Male,8,26-03-1956,69,Research Nurse,Health,Affluent Customer,N,Yes,18
471,Libby Wardesworth,Female,82,01-01-1956,69,GIS Technical Architect,Financial Services,Affluent Customer,N,No,14
